Commodity,Year,Attribute,Value,Notes
Frozen fruit (processed-weight basis): Per capita availability,1992,Berries-Total berries-Pounds,2.11084609,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,1993,Berries-Total berries-Pounds,2.179974077,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,1994,Berries-Total berries-Pounds,2.129137499,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,1995,Berries-Total berries-Pounds,2.333785368,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,1996,Berries-Total berries-Pounds,2.212640669,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,1997,Berries-Total berries-Pounds,1.958337987,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,1998,Berries-Total berries-Pounds,2.221821702,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,1999,Berries-Total berries-Pounds,2.175274929,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2000,Berries-Total berries-Pounds,2.388888368,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2001,Berries-Total berries-Pounds,2.718575251,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2002,Berries-Total berries-Pounds,2.269486455,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2003,Berries-Total berries-Pounds,2.754586397,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2004,Berries-Total berries-Pounds,2.368400515,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2005,Berries-Total berries-Pounds,3.110777908,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2006,Berries-Total berries-Pounds,2.983124593,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2007,Berries-Total berries-Pounds,2.82843012,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2008,Berries-Total berries-Pounds,2.861070367,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2009,Berries-Total berries-Pounds,2.723667412,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2010,Berries-Total berries-Pounds,3.262160674,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2011,Berries-Total berries-Pounds,2.802460364,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2012,Berries-Total berries-Pounds,3.032786083,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2013,Berries-Total berries-Pounds,3.022053012,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2014,Berries-Total berries-Pounds,3.463272298,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2015,Berries-Total berries-Pounds,3.598800454,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2016,Berries-Total berries-Pounds,3.227495625,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2017,Berries-Total berries-Pounds,3.252062074,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2018,Berries-Total berries-Pounds,3.295615443,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2019,Berries-Total berries-Pounds,3.308883832,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2020,Berries-Total berries-Pounds,3.484737381,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,2021,Berries-Total berries-Pounds,3.490508826,Computed from unrounded data. Includes miscellaneous fruit and berries and noncitrus fruit puree.
Frozen fruit (processed-weight basis): Per capita availability,1970,Other frozen fruit-Apples-Pounds,0.593995669,
Frozen fruit (processed-weight basis): Per capita availability,1971,Other frozen fruit-Apples-Pounds,0.550416303,
Frozen fruit (processed-weight basis): Per capita availability,1972,Other frozen fruit-Apples-Pounds,0.672618821,
Frozen fruit (processed-weight basis): Per capita availability,1973,Other frozen fruit-Apples-Pounds,0.733899929,
Frozen fruit (processed-weight basis): Per capita availability,1974,Other frozen fruit-Apples-Pounds,0.509787051,
Frozen fruit (processed-weight basis): Per capita availability,1975,Other frozen fruit-Apples-Pounds,0.264662712,
Frozen fruit (processed-weight basis): Per capita availability,1976,Other frozen fruit-Apples-Pounds,0.491847639,
Frozen fruit (processed-weight basis): Per capita availability,1977,Other frozen fruit-Apples-Pounds,0.412006956,
Frozen fruit (processed-weight basis): Per capita availability,1978,Other frozen fruit-Apples-Pounds,0.626457308,
Frozen fruit (processed-weight basis): Per capita availability,1979,Other frozen fruit-Apples-Pounds,0.440159072,
Frozen fruit (processed-weight basis): Per capita availability,1980,Other frozen fruit-Apples-Pounds,0.472497651,
Frozen fruit (processed-weight basis): Per capita availability,1981,Other frozen fruit-Apples-Pounds,0.406233965,
Frozen fruit (processed-weight basis): Per capita availability,1982,Other frozen fruit-Apples-Pounds,0.505538615,
Frozen fruit (processed-weight basis): Per capita availability,1983,Other frozen fruit-Apples-Pounds,0.443691396,
Frozen fruit (processed-weight basis): Per capita availability,1984,Other frozen fruit-Apples-Pounds,0.52701948,
Frozen fruit (processed-weight basis): Per capita availability,1985,Other frozen fruit-Apples-Pounds,0.477133008,
Frozen fruit (processed-weight basis): Per capita availability,1986,Other frozen fruit-Apples-Pounds,0.613668757,
Frozen fruit (processed-weight basis): Per capita availability,1987,Other frozen fruit-Apples-Pounds,0.616793793,
Frozen fruit (processed-weight basis): Per capita availability,1988,Other frozen fruit-Apples-Pounds,0.677982704,
Frozen fruit (processed-weight basis): Per capita availability,1989,Other frozen fruit-Apples-Pounds,0.773018735,
Frozen fruit (processed-weight basis): Per capita availability,1990,Other frozen fruit-Apples-Pounds,0.667967313,
Frozen fruit (processed-weight basis): Per capita availability,1991,Other frozen fruit-Apples-Pounds,0.616742869,
Frozen fruit (processed-weight basis): Per capita availability,1992,Other frozen fruit-Apples-Pounds,0.625561516,
Frozen fruit (processed-weight basis): Per capita availability,1993,Other frozen fruit-Apples-Pounds,0.648221936,
Frozen fruit (processed-weight basis): Per capita availability,1994,Other frozen fruit-Apples-Pounds,0.647011039,
Frozen fruit (processed-weight basis): Per capita availability,1995,Other frozen fruit-Apples-Pounds,0.717437546,
Frozen fruit (processed-weight basis): Per capita availability,1996,Other frozen fruit-Apples-Pounds,0.626939893,
Frozen fruit (processed-weight basis): Per capita availability,1997,Other frozen fruit-Apples-Pounds,0.813441695,
Frozen fruit (processed-weight basis): Per capita availability,1998,Other frozen fruit-Apples-Pounds,0.565977944,
Frozen fruit (processed-weight basis): Per capita availability,1999,Other frozen fruit-Apples-Pounds,0.561692834,
Frozen fruit (processed-weight basis): Per capita availability,2000,Other frozen fruit-Apples-Pounds,0.465392992,
Frozen fruit (processed-weight basis): Per capita availability,2001,Other frozen fruit-Apples-Pounds,0.548692784,
Frozen fruit (processed-weight basis): Per capita availability,2002,Other frozen fruit-Apples-Pounds,0.415789645,
Frozen fruit (processed-weight basis): Per capita availability,2003,Other frozen fruit-Apples-Pounds,0.622217274,
Frozen fruit (processed-weight basis): Per capita availability,2004,Other frozen fruit-Apples-Pounds,0.417408405,
Frozen fruit (processed-weight basis): Per capita availability,2005,Other frozen fruit-Apples-Pounds,0.511897556,
Frozen fruit (processed-weight basis): Per capita availability,2006,Other frozen fruit-Apples-Pounds,0.512294779,
Frozen fruit (processed-weight basis): Per capita availability,2007,Other frozen fruit-Apples-Pounds,0.535880467,
Frozen fruit (processed-weight basis): Per capita availability,2008,Other frozen fruit-Apples-Pounds,0.427332535,
Frozen fruit (processed-weight basis): Per capita availability,2009,Other frozen fruit-Apples-Pounds,0.452664809,
Frozen fruit (processed-weight basis): Per capita availability,2010,Other frozen fruit-Apples-Pounds,0.342705371,
Frozen fruit (processed-weight basis): Per capita availability,2011,Other frozen fruit-Apples-Pounds,0.415082782,
Frozen fruit (processed-weight basis): Per capita availability,2012,Other frozen fruit-Apples-Pounds,0.183519904,
Frozen fruit (processed-weight basis): Per capita availability,2013,Other frozen fruit-Apples-Pounds,0.493055898,
Frozen fruit (processed-weight basis): Per capita availability,2014,Other frozen fruit-Apples-Pounds,0.454304675,
Frozen fruit (processed-weight basis): Per capita availability,2015,Other frozen fruit-Apples-Pounds,0.406095037,
Frozen fruit (processed-weight basis): Per capita availability,2016,Other frozen fruit-Apples-Pounds,0.26354355,
Frozen fruit (processed-weight basis): Per capita availability,2017,Other frozen fruit-Apples-Pounds,0.235918135,
Frozen fruit (processed-weight basis): Per capita availability,2018,Other frozen fruit-Apples-Pounds,0.32680679,
Frozen fruit (processed-weight basis): Per capita availability,2019,Other frozen fruit-Apples-Pounds,0.349154887,
Frozen fruit (processed-weight basis): Per capita availability,2020,Other frozen fruit-Apples-Pounds,0.326626579,
Frozen fruit (processed-weight basis): Per capita availability,2021,Other frozen fruit-Apples-Pounds,0.351900518,
Frozen fruit (processed-weight basis): Per capita availability,1970,Other frozen fruit-Apricots-Pounds,0.056571016,
Frozen fruit (processed-weight basis): Per capita availability,1971,Other frozen fruit-Apricots-Pounds,0.070788448,
Frozen fruit (processed-weight basis): Per capita availability,1972,Other frozen fruit-Apricots-Pounds,0.047166216,
Frozen fruit (processed-weight basis): Per capita availability,1973,Other frozen fruit-Apricots-Pounds,0.079279313,
Frozen fruit (processed-weight basis): Per capita availability,1974,Other frozen fruit-Apricots-Pounds,0.059853919,
Frozen fruit (processed-weight basis): Per capita availability,1975,Other frozen fruit-Apricots-Pounds,0.067601043,
Frozen fruit (processed-weight basis): Per capita availability,1976,Other frozen fruit-Apricots-Pounds,0.060082097,
Frozen fruit (processed-weight basis): Per capita availability,1977,Other frozen fruit-Apricots-Pounds,0.072194298,
Frozen fruit (processed-weight basis): Per capita availability,1978,Other frozen fruit-Apricots-Pounds,0.066491453,
Frozen fruit (processed-weight basis): Per capita availability,1979,Other frozen fruit-Apricots-Pounds,0.055541979,
Frozen fruit (processed-weight basis): Per capita availability,1980,Other frozen fruit-Apricots-Pounds,0.066307756,
Frozen fruit (processed-weight basis): Per capita availability,1981,Other frozen fruit-Apricots-Pounds,0.050007392,
Frozen fruit (processed-weight basis): Per capita availability,1982,Other frozen fruit-Apricots-Pounds,0.062018709,
Frozen fruit (processed-weight basis): Per capita availability,1983,Other frozen fruit-Apricots-Pounds,0.06956685,
Frozen fruit (processed-weight basis): Per capita availability,1984,Other frozen fruit-Apricots-Pounds,0.059234688,
Frozen fruit (processed-weight basis): Per capita availability,1985,Other frozen fruit-Apricots-Pounds,0.06835356,
Frozen fruit (processed-weight basis): Per capita availability,1986,Other frozen fruit-Apricots-Pounds,0.065655243,
Frozen fruit (processed-weight basis): Per capita availability,1987,Other frozen fruit-Apricots-Pounds,0.078664272,
Frozen fruit (processed-weight basis): Per capita availability,1988,Other frozen fruit-Apricots-Pounds,0.058362344,
Frozen fruit (processed-weight basis): Per capita availability,1989,Other frozen fruit-Apricots-Pounds,0.066709253,
Frozen fruit (processed-weight basis): Per capita availability,1990,Other frozen fruit-Apricots-Pounds,0.067964115,
Frozen fruit (processed-weight basis): Per capita availability,1991,Other frozen fruit-Apricots-Pounds,0.056017326,
Frozen fruit (processed-weight basis): Per capita availability,1992,Other frozen fruit-Apricots-Pounds,0.073886506,
Frozen fruit (processed-weight basis): Per capita availability,1993,Other frozen fruit-Apricots-Pounds,0.059330272,
Frozen fruit (processed-weight basis): Per capita availability,1994,Other frozen fruit-Apricots-Pounds,0.06559468,
Frozen fruit (processed-weight basis): Per capita availability,1995,Other frozen fruit-Apricots-Pounds,0.062718293,
Frozen fruit (processed-weight basis): Per capita availability,1996,Other frozen fruit-Apricots-Pounds,0.056996221,
Frozen fruit (processed-weight basis): Per capita availability,1997,Other frozen fruit-Apricots-Pounds,0.074181421,
Frozen fruit (processed-weight basis): Per capita availability,1998,Other frozen fruit-Apricots-Pounds,0.07944878,
Frozen fruit (processed-weight basis): Per capita availability,1999,Other frozen fruit-Apricots-Pounds,0.075400562,
Frozen fruit (processed-weight basis): Per capita availability,2000,Other frozen fruit-Apricots-Pounds,0.08031234,
Frozen fruit (processed-weight basis): Per capita availability,2001,Other frozen fruit-Apricots-Pounds,0.112067961,
Frozen fruit (processed-weight basis): Per capita availability,2002,Other frozen fruit-Apricots-Pounds,0.080897641,
Frozen fruit (processed-weight basis): Per capita availability,2003,Other frozen fruit-Apricots-Pounds,0.044267988,
Frozen fruit (processed-weight basis): Per capita availability,2004,Other frozen fruit-Apricots-Pounds,0.061162697,
Frozen fruit (processed-weight basis): Per capita availability,2005,Other frozen fruit-Apricots-Pounds,0.056631197,
Frozen fruit (processed-weight basis): Per capita availability,2006,Other frozen fruit-Apricots-Pounds,0.027618185,
Frozen fruit (processed-weight basis): Per capita availability,2007,Other frozen fruit-Apricots-Pounds,0.041733498,
Frozen fruit (processed-weight basis): Per capita availability,2008,Other frozen fruit-Apricots-Pounds,0.056334449,
Frozen fruit (processed-weight basis): Per capita availability,2009,Other frozen fruit-Apricots-Pounds,0.040077231,
Frozen fruit (processed-weight basis): Per capita availability,2010,Other frozen fruit-Apricots-Pounds,0.03855226,
Frozen fruit (processed-weight basis): Per capita availability,2011,Other frozen fruit-Apricots-Pounds,0.037954294,
Frozen fruit (processed-weight basis): Per capita availability,2012,Other frozen fruit-Apricots-Pounds,0.036051572,
Frozen fruit (processed-weight basis): Per capita availability,2013,Other frozen fruit-Apricots-Pounds,0.031906529,
Frozen fruit (processed-weight basis): Per capita availability,2014,Other frozen fruit-Apricots-Pounds,0.027759248,
Frozen fruit (processed-weight basis): Per capita availability,2015,Other frozen fruit-Apricots-Pounds,0.026092065,
Frozen fruit (processed-weight basis): Per capita availability,2016,Other frozen fruit-Apricots-Pounds,0.019607585,
Frozen fruit (processed-weight basis): Per capita availability,2017,Other frozen fruit-Apricots-Pounds,0.030882798,
Frozen fruit (processed-weight basis): Per capita availability,2018,Other frozen fruit-Apricots-Pounds,0.009214297,
Frozen fruit (processed-weight basis): Per capita availability,2019,Other frozen fruit-Apricots-Pounds,0.022329405,
Frozen fruit (processed-weight basis): Per capita availability,2020,Other frozen fruit-Apricots-Pounds,0.020183452,
Frozen fruit (processed-weight basis): Per capita availability,2021,Other frozen fruit-Apricots-Pounds,0.004862612,
Frozen fruit (processed-weight basis): Per capita availability,1970,Other frozen fruit-Cherries-Pounds,0.612527554,
Frozen fruit (processed-weight basis): Per capita availability,1971,Other frozen fruit-Cherries-Pounds,0.678991241,
Frozen fruit (processed-weight basis): Per capita availability,1972,Other frozen fruit-Cherries-Pounds,0.630788581,
Frozen fruit (processed-weight basis): Per capita availability,1973,Other frozen fruit-Cherries-Pounds,0.81846453,
Frozen fruit (processed-weight basis): Per capita availability,1974,Other frozen fruit-Cherries-Pounds,0.48724831,
Frozen fruit (processed-weight basis): Per capita availability,1975,Other frozen fruit-Cherries-Pounds,0.444500007,
Frozen fruit (processed-weight basis): Per capita availability,1976,Other frozen fruit-Cherries-Pounds,0.665489486,
Frozen fruit (processed-weight basis): Per capita availability,1977,Other frozen fruit-Cherries-Pounds,0.618873133,
Frozen fruit (processed-weight basis): Per capita availability,1978,Other frozen fruit-Cherries-Pounds,0.638857066,
Frozen fruit (processed-weight basis): Per capita availability,1979,Other frozen fruit-Cherries-Pounds,0.520317256,
Frozen fruit (processed-weight basis): Per capita availability,1980,Other frozen fruit-Cherries-Pounds,0.480401886,
Frozen fruit (processed-weight basis): Per capita availability,1981,Other frozen fruit-Cherries-Pounds,0.490942139,
Frozen fruit (processed-weight basis): Per capita availability,1982,Other frozen fruit-Cherries-Pounds,0.612434751,
Frozen fruit (processed-weight basis): Per capita availability,1983,Other frozen fruit-Cherries-Pounds,0.627808815,
Frozen fruit (processed-weight basis): Per capita availability,1984,Other frozen fruit-Cherries-Pounds,0.580923046,
Frozen fruit (processed-weight basis): Per capita availability,1985,Other frozen fruit-Cherries-Pounds,0.586247096,
Frozen fruit (processed-weight basis): Per capita availability,1986,Other frozen fruit-Cherries-Pounds,0.665694304,
Frozen fruit (processed-weight basis): Per capita availability,1987,Other frozen fruit-Cherries-Pounds,1.004513929,
Frozen fruit (processed-weight basis): Per capita availability,1988,Other frozen fruit-Cherries-Pounds,0.72973337,
Frozen fruit (processed-weight basis): Per capita availability,1989,Other frozen fruit-Cherries-Pounds,0.738249064,
Frozen fruit (processed-weight basis): Per capita availability,1990,Other frozen fruit-Cherries-Pounds,0.798778245,
Frozen fruit (processed-weight basis): Per capita availability,1991,Other frozen fruit-Cherries-Pounds,0.575163811,
Frozen fruit (processed-weight basis): Per capita availability,1992,Other frozen fruit-Cherries-Pounds,0.545380585,
Frozen fruit (processed-weight basis): Per capita availability,1993,Other frozen fruit-Cherries-Pounds,0.676432729,
Frozen fruit (processed-weight basis): Per capita availability,1994,Other frozen fruit-Cherries-Pounds,0.641165217,
Frozen fruit (processed-weight basis): Per capita availability,1995,Other frozen fruit-Cherries-Pounds,0.634911107,
Frozen fruit (processed-weight basis): Per capita availability,1996,Other frozen fruit-Cherries-Pounds,0.584635866,
Frozen fruit (processed-weight basis): Per capita availability,1997,Other frozen fruit-Cherries-Pounds,0.551379199,
Frozen fruit (processed-weight basis): Per capita availability,1998,Other frozen fruit-Cherries-Pounds,0.760422288,
Frozen fruit (processed-weight basis): Per capita availability,1999,Other frozen fruit-Cherries-Pounds,0.466845851,
Frozen fruit (processed-weight basis): Per capita availability,2000,Other frozen fruit-Cherries-Pounds,0.53201368,
Frozen fruit (processed-weight basis): Per capita availability,2001,Other frozen fruit-Cherries-Pounds,0.509085971,
Frozen fruit (processed-weight basis): Per capita availability,2002,Other frozen fruit-Cherries-Pounds,0.433970452,
Frozen fruit (processed-weight basis): Per capita availability,2003,Other frozen fruit-Cherries-Pounds,0.528803372,
Frozen fruit (processed-weight basis): Per capita availability,2004,Other frozen fruit-Cherries-Pounds,0.562840099,
Frozen fruit (processed-weight basis): Per capita availability,2005,Other frozen fruit-Cherries-Pounds,0.56353814,
Frozen fruit (processed-weight basis): Per capita availability,2006,Other frozen fruit-Cherries-Pounds,0.666955527,
Frozen fruit (processed-weight basis): Per capita availability,2007,Other frozen fruit-Cherries-Pounds,0.693232518,
Frozen fruit (processed-weight basis): Per capita availability,2008,Other frozen fruit-Cherries-Pounds,0.640893006,
Frozen fruit (processed-weight basis): Per capita availability,2009,Other frozen fruit-Cherries-Pounds,0.712995875,
Frozen fruit (processed-weight basis): Per capita availability,2010,Other frozen fruit-Cherries-Pounds,0.675049077,
Frozen fruit (processed-weight basis): Per capita availability,2011,Other frozen fruit-Cherries-Pounds,0.654896634,
Frozen fruit (processed-weight basis): Per capita availability,2012,Other frozen fruit-Cherries-Pounds,0.652136331,
Frozen fruit (processed-weight basis): Per capita availability,2013,Other frozen fruit-Cherries-Pounds,0.433479818,
Frozen fruit (processed-weight basis): Per capita availability,2014,Other frozen fruit-Cherries-Pounds,0.74017814,
Frozen fruit (processed-weight basis): Per capita availability,2015,Other frozen fruit-Cherries-Pounds,0.807461532,
Frozen fruit (processed-weight basis): Per capita availability,2016,Other frozen fruit-Cherries-Pounds,0.787797942,
Frozen fruit (processed-weight basis): Per capita availability,2017,Other frozen fruit-Cherries-Pounds,0.731446121,
Frozen fruit (processed-weight basis): Per capita availability,2018,Other frozen fruit-Cherries-Pounds,0.646119613,
Frozen fruit (processed-weight basis): Per capita availability,2019,Other frozen fruit-Cherries-Pounds,0.686800462,
Frozen fruit (processed-weight basis): Per capita availability,2020,Other frozen fruit-Cherries-Pounds,0.603750368,
Frozen fruit (processed-weight basis): Per capita availability,2021,Other frozen fruit-Cherries-Pounds,0.619088627,
Frozen fruit (processed-weight basis): Per capita availability,1970,Other frozen fruit-Peaches-Pounds,0.282962371,
Frozen fruit (processed-weight basis): Per capita availability,1971,Other frozen fruit-Peaches-Pounds,0.263410077,
Frozen fruit (processed-weight basis): Per capita availability,1972,Other frozen fruit-Peaches-Pounds,0.306342189,
Frozen fruit (processed-weight basis): Per capita availability,1973,Other frozen fruit-Peaches-Pounds,0.233118933,
Frozen fruit (processed-weight basis): Per capita availability,1974,Other frozen fruit-Peaches-Pounds,0.277291984,
Frozen fruit (processed-weight basis): Per capita availability,1975,Other frozen fruit-Peaches-Pounds,0.284294796,
Frozen fruit (processed-weight basis): Per capita availability,1976,Other frozen fruit-Peaches-Pounds,0.134794872,
Frozen fruit (processed-weight basis): Per capita availability,1977,Other frozen fruit-Peaches-Pounds,0.279242096,
Frozen fruit (processed-weight basis): Per capita availability,1978,Other frozen fruit-Peaches-Pounds,0.266864344,
Frozen fruit (processed-weight basis): Per capita availability,1979,Other frozen fruit-Peaches-Pounds,0.212392526,
Frozen fruit (processed-weight basis): Per capita availability,1980,Other frozen fruit-Peaches-Pounds,0.266109272,
Frozen fruit (processed-weight basis): Per capita availability,1981,Other frozen fruit-Peaches-Pounds,0.193506866,
Frozen fruit (processed-weight basis): Per capita availability,1982,Other frozen fruit-Peaches-Pounds,0.232139473,
Frozen fruit (processed-weight basis): Per capita availability,1983,Other frozen fruit-Peaches-Pounds,0.307715945,
Frozen fruit (processed-weight basis): Per capita availability,1984,Other frozen fruit-Peaches-Pounds,0.280095452,
Frozen fruit (processed-weight basis): Per capita availability,1985,Other frozen fruit-Peaches-Pounds,0.405089195,
Frozen fruit (processed-weight basis): Per capita availability,1986,Other frozen fruit-Peaches-Pounds,0.4122152,
Frozen fruit (processed-weight basis): Per capita availability,1987,Other frozen fruit-Peaches-Pounds,0.271824187,
Frozen fruit (processed-weight basis): Per capita availability,1988,Other frozen fruit-Peaches-Pounds,0.330175781,
Frozen fruit (processed-weight basis): Per capita availability,1989,Other frozen fruit-Peaches-Pounds,0.442706859,
Frozen fruit (processed-weight basis): Per capita availability,1990,Other frozen fruit-Peaches-Pounds,0.349415509,
Frozen fruit (processed-weight basis): Per capita availability,1991,Other frozen fruit-Peaches-Pounds,0.501000028,
Frozen fruit (processed-weight basis): Per capita availability,1992,Other frozen fruit-Peaches-Pounds,0.421952245,
Frozen fruit (processed-weight basis): Per capita availability,1993,Other frozen fruit-Peaches-Pounds,0.280275115,
Frozen fruit (processed-weight basis): Per capita availability,1994,Other frozen fruit-Peaches-Pounds,0.47655218,
Frozen fruit (processed-weight basis): Per capita availability,1995,Other frozen fruit-Peaches-Pounds,0.442783345,
Frozen fruit (processed-weight basis): Per capita availability,1996,Other frozen fruit-Peaches-Pounds,0.39688208,
Frozen fruit (processed-weight basis): Per capita availability,1997,Other frozen fruit-Peaches-Pounds,0.375117254,
Frozen fruit (processed-weight basis): Per capita availability,1998,Other frozen fruit-Peaches-Pounds,0.398171052,
Frozen fruit (processed-weight basis): Per capita availability,1999,Other frozen fruit-Peaches-Pounds,0.451869887,
Frozen fruit (processed-weight basis): Per capita availability,2000,Other frozen fruit-Peaches-Pounds,0.607518105,
Frozen fruit (processed-weight basis): Per capita availability,2001,Other frozen fruit-Peaches-Pounds,0.595733008,
Frozen fruit (processed-weight basis): Per capita availability,2002,Other frozen fruit-Peaches-Pounds,0.542115196,
Frozen fruit (processed-weight basis): Per capita availability,2003,Other frozen fruit-Peaches-Pounds,0.62365803,
Frozen fruit (processed-weight basis): Per capita availability,2004,Other frozen fruit-Peaches-Pounds,0.575809875,
Frozen fruit (processed-weight basis): Per capita availability,2005,Other frozen fruit-Peaches-Pounds,0.573044898,
Frozen fruit (processed-weight basis): Per capita availability,2006,Other frozen fruit-Peaches-Pounds,0.477504995,
Frozen fruit (processed-weight basis): Per capita availability,2007,Other frozen fruit-Peaches-Pounds,0.708576902,
Frozen fruit (processed-weight basis): Per capita availability,2008,Other frozen fruit-Peaches-Pounds,0.582996409,
Frozen fruit (processed-weight basis): Per capita availability,2009,Other frozen fruit-Peaches-Pounds,0.557111407,
Frozen fruit (processed-weight basis): Per capita availability,2010,Other frozen fruit-Peaches-Pounds,0.526248876,
Frozen fruit (processed-weight basis): Per capita availability,2011,Other frozen fruit-Peaches-Pounds,0.483800065,
Frozen fruit (processed-weight basis): Per capita availability,2012,Other frozen fruit-Peaches-Pounds,0.509164603,
Frozen fruit (processed-weight basis): Per capita availability,2013,Other frozen fruit-Peaches-Pounds,0.491974629,
Frozen fruit (processed-weight basis): Per capita availability,2014,Other frozen fruit-Peaches-Pounds,0.521352839,
Frozen fruit (processed-weight basis): Per capita availability,2015,Other frozen fruit-Peaches-Pounds,0.456872499,
Frozen fruit (processed-weight basis): Per capita availability,2016,Other frozen fruit-Peaches-Pounds,0.473259443,
Frozen fruit (processed-weight basis): Per capita availability,2017,Other frozen fruit-Peaches-Pounds,0.323471862,
Frozen fruit (processed-weight basis): Per capita availability,2018,Other frozen fruit-Peaches-Pounds,0.411016983,
Frozen fruit (processed-weight basis): Per capita availability,2019,Other frozen fruit-Peaches-Pounds,0.436365399,
Frozen fruit (processed-weight basis): Per capita availability,2020,Other frozen fruit-Peaches-Pounds,0.373152731,
Frozen fruit (processed-weight basis): Per capita availability,2021,Other frozen fruit-Peaches-Pounds,0.294622886,
Frozen fruit (processed-weight basis): Per capita availability,1970,Other frozen fruit-Plums and prunes-Pounds,0.040477537,
Frozen fruit (processed-weight basis): Per capita availability,1971,Other frozen fruit-Plums and prunes-Pounds,0.017817501,
Frozen fruit (processed-weight basis): Per capita availability,1972,Other frozen fruit-Plums and prunes-Pounds,0.024297747,
Frozen fruit (processed-weight basis): Per capita availability,1973,Other frozen fruit-Plums and prunes-Pounds,0.02831404,
Frozen fruit (processed-weight basis): Per capita availability,1974,Other frozen fruit-Plums and prunes-Pounds,0.028991742,
Frozen fruit (processed-weight basis): Per capita availability,1975,Other frozen fruit-Plums and prunes-Pounds,0.024077084,
Frozen fruit (processed-weight basis): Per capita availability,1976,Other frozen fruit-Plums and prunes-Pounds,0.022932098,
Frozen fruit (processed-weight basis): Per capita availability,1977,Other frozen fruit-Plums and prunes-Pounds,0.016345879,
Frozen fruit (processed-weight basis): Per capita availability,1978,Other frozen fruit-Plums and prunes-Pounds,0.012579464,
Frozen fruit (processed-weight basis): Per capita availability,1979,Other frozen fruit-Plums and prunes-Pounds,0.023105463,
Frozen fruit (processed-weight basis): Per capita availability,1980,Other frozen fruit-Plums and prunes-Pounds,0.026786577,
Frozen fruit (processed-weight basis): Per capita availability,1981,Other frozen fruit-Plums and prunes-Pounds,0.018263569,
